NUM_STATION,THROUGHPUT,SUCCESS_RATE,COLLISION_RATE,NUM_TRANSMIT,ALPHA,NUM_FAIL,DELAY,CONTENTION_STATION_NUM,AVG_OCW,RU_COLLISION_RATE,RU_SUCCESS_RATE,RU_IDLE_RATE
NUM_STATION,THROUGHPUT,SUCCESS_RATE,COLLISION_RATE,NUM_TRANSMIT,ALPHA,NUM_FAIL,DELAY,CONTENTION_STATION_NUM,AVG_OCW,RU_COLLISION_RATE,RU_SUCCESS_RATE,RU_IDLE_RATE
1,12.05283964902131,100.0,0.0,100000.0,1.5,0.0,82.968,1.0,8.0,0.0,12.50000000000001,87.50000000000001
5,34.42599556455501,60.50651289232569,39.49348710767431,472057.6,1.5,0.652714172629787,145.23760974258994,4.6,10.824021425156065,10.92429999999992,35.70319999999958,53.37249999999987
10,37.36045222254363,38.5356973022797,61.4643026977203,804376.4,1.5,1.595001160439863,267.6551435301319,9.8,16.049352126939503,26.599549999999777,38.746524999999764,34.65392500000019
15,35.37778420595892,28.58231748095627,71.41768251904372,1026937.0,1.5,2.4987120580666162,423.9706068722139,14.6,21.74311020350824,37.188725000000154,36.69029999999998,26.120975000000175
20,32.95955067013789,22.866579994127818,77.13342000587218,1195888.4,1.5,3.3732292359381604,606.7488890565494,19.2,27.101202134917145,44.6773499999996,34.18234999999982,21.14029999999993
25,30.567520007713817,18.93873664043426,81.06126335956574,1339120.6,1.5,4.280222448768356,817.7520640208943,23.6,31.991478545844256,50.6266249999994,31.701574999999877,17.67180000000004
30,28.39564651431877,16.04162934727208,83.95837065272792,1468635.0,1.5,5.233940748971451,1056.316490064298,28.8,36.30051821300003,55.533749999999735,29.44912500000018,15.017124999999956
35,26.255279143766266,13.694446787400343,86.30555321259966,1590679.6,1.5,6.302248881869478,1332.7633378893418,33.2,40.1724726657202,59.871249999999556,27.22935000000009,12.899400000000018
40,24.22748529553563,11.762819375317155,88.23718062468285,1708863.8,1.5,7.501847391865607,1650.673112985282,38.8,43.5738030980919,63.74234999999959,25.126325000000136,11.131325000000029
45,22.29584900202488,10.127125410198165,89.87287458980184,1826620.8,1.5,8.875008023106076,2017.7243830652435,42.4,46.56022405678598,67.26049999999903,23.123025000000048,9.616475000000076
50,20.430672066338833,8.717842971727658,91.28215702827234,1944392.4,1.5,10.470731418733568,2446.4601027722374,48.4,49.160890220470776,70.52027499999886,21.18864999999996,8.291075000000005
55,18.611946774660108,7.484904931154216,92.51509506884578,2063079.8,1.5,12.360847695727177,2954.032264058077,51.8,51.434182214829015,73.5454249999993,19.302450000000096,7.152125000000015
60,16.895309034808598,6.416996331775574,93.58300366822442,2184464.2,1.5,14.583818350945526,3549.5890017262877,57.2,53.38604286199957,76.36764999999917,17.522124999999967,6.110224999999998
65,15.24272008485199,5.480157797523049,94.51984220247695,2307704.0,1.5,17.248779452216347,4261.992845085903,62.4,55.07571263593154,78.95865000000006,15.808225000000007,5.233124999999993
70,13.676405361103075,4.6623956154544715,95.33760438454553,2433735.4,1.5,20.44906995451821,5115.190827219139,65.2,56.51294653163718,81.32974999999938,14.183800000000033,4.486450000000017
75,12.25171150323016,3.965410922889128,96.03458907711087,2563415.8,1.5,24.21687920339982,6116.822293374991,71.8,57.7170442568882,83.50247500000015,12.706250000000011,3.7912749999999975
80,10.87204705428599,3.3487716708782607,96.65122832912174,2693620.8,1.5,28.86499386565576,7351.336133721156,76.8,58.75942898804236,85.51647499999922,11.27540000000002,3.2081249999999883
85,9.626024491370165,2.8236631998120134,97.17633680018798,2828424.6,1.5,34.412095247497675,8819.778560503171,80.2,59.629156752102105,87.3065749999996,9.983150000000018,2.7102749999999993
90,8.484596470928551,2.374637415178707,97.62536258482129,2964451.6,1.5,41.1089869902499,10592.245337464807,86.0,60.36029043140144,88.92359999999944,8.799375000000019,2.2770250000000036
95,7.45615176935686,1.9937314505118195,98.00626854948818,3102833.4,1.5,49.16194672641956,12720.964184319604,89.8,60.96873381548388,90.35437499999989,7.7327749999999895,1.9128499999999966
100,6.488646225050621,1.6594990231229019,98.3405009768771,3244051.4,1.5,59.234979876988426,15380.89443650303,94.4,61.49342834793631,91.68817500000009,6.729375000000017,1.5824499999999866
