NUM_STATION,THROUGHPUT,SUCCESS_RATE,COLLISION_RATE,NUM_TRANSMIT,ALPHA,NUM_FAIL,DELAY,CONTENTION_STATION_NUM,AVG_OCW,RU_COLLISION_RATE
1,12.052839649021315,100.0,0.0,100000.0,7.999999999999999,0.0,0.0,1.0,8.0,0.0
2,21.092141548548835,87.49884994497448,12.50115005502552,199999.52,7.410592827897936,0.14287180359380228,11.853787800570588,2.0,8.87806591498886,1.731862392033981
3,27.674129784977346,76.54241117027131,23.457588829728692,299973.2,7.054896561418039,0.3064642438569689,25.426725384324996,3.0,9.93219765165946,4.190672570218673
4,32.269453283193506,66.99453057504455,33.00546942495545,399634.4,6.428962510495556,0.49265899076416125,40.874931145720936,4.0,11.196916614489918,8.125689848037338
5,35.26364140391477,58.76847655174934,41.23152344825066,497844.06,6.0535448155935345,0.7015891941330514,58.209452258831014,4.96,12.68797595031965,11.988562071678333
6,36.94418812072124,51.78250202646398,48.21749797353602,591934.56,5.56162091630059,0.9311516565321446,77.25579063915897,5.98,14.39829787475357,16.386275258795013
7,37.67884244528011,46.11766882292268,53.88233117707732,677861.24,5.060866793089044,1.1683630373093044,96.93674447947836,6.8,16.233044666464412,21.029606695253843
8,37.79410134027577,41.64235278247682,58.35764721752318,753007.76,4.717178892293505,1.4014035401699436,116.27164892081989,7.72,18.058708753403263,24.246631437756747
9,37.61592662231221,38.20947670583698,61.79052329416302,816791.92,4.441347591794646,1.6171622284871472,134.17271577312164,7.92,19.755511314708215,27.178132228295418
10,37.449674573329474,38.4393582556026,61.5606417443974,808318.58,2.4562590294084363,1.6015203234063062,132.87493819237443,8.92,19.682631353268768,27.22682694513238
11,37.289289846687886,38.75353316929203,61.24646683070797,798331.88,1.7455171778366139,1.5804488636055034,131.12668131562143,8.3,19.541060961275964,26.169421148949006
12,37.14215360138848,39.077354634779205,60.922645365220795,788592.28,1.383431398731028,1.559041828204124,129.35058240243978,8.68,19.37706207963591,25.6622235527109
13,36.985686047632825,39.410890912049645,60.589109087950355,778624.52,1.1615833252184122,1.5374102790072965,127.55585602867738,8.14,19.198711596705746,25.48034600865988
14,36.848165557805416,39.659176835097085,60.340823164902915,770872.86,1.0057536467894088,1.5215038760759716,126.23613359027122,8.66,19.058246947010318,25.60640987269445
15,36.71694870311445,39.88863491716069,60.11136508283931,763709.18,0.8808316064383369,1.5069884968042162,125.03182160285222,8.12,18.938460068532688,24.642840176732015
16,36.598498216179735,40.106600888307554,59.893399111692446,757108.28,0.7954101854637231,1.4933824412921934,123.90295438913071,8.4,18.817121629214117,24.477059560114448
17,36.50890704850062,40.282955596012805,59.717044403987195,751948.66,0.7188774902187126,1.482471412691988,122.99768816822886,7.9,18.718245741864745,24.382496700719
18,36.42324028541124,40.48129238786307,59.51870761213693,746508.52,0.6615364349327725,1.4703157569471146,121.98915772238821,8.2,18.618873252032113,24.026073522127827
19,36.37588708899817,40.536910690110446,59.463089309889554,744515.08,0.6072639132890522,1.466898068610144,121.70559895644644,8.32,18.58555013872933,23.565293717591118
