NUM_STATION,THROUGHPUT,SUCCESS_RATE,NUM_TX,ALPHA,FAIL_COUNT,TX_TRY,AVG_OCW
1,10.586745648583406,100.0,66662.62,0.5,0.0,0.66,8.0
2,18.88249904713505,91.80515226307107,129512.64,0.5,0.08926299815778259,1.34,8.35123768030732
3,25.394784652521913,84.73028671011525,188723.34,0.5,0.18021536872183902,1.74,8.717328615453432
4,30.50332549866599,78.62475260974847,244291.08,0.5,0.27186235854847735,2.6,9.09671629731079
5,34.48576737390422,73.28719529412328,296299.84,0.5,0.3644954196495074,2.96,9.493239161233255
6,37.622354211663065,68.65497842576303,345059.22,0.5,0.4565584139051524,3.54,9.90133623307671
7,40.10358277220175,64.61954019460423,390785.96,0.5,0.5475190642867218,3.92,10.319148828687918
8,42.019181171388645,61.043443684401865,433439.32,0.5,0.6381768131982846,4.38,10.750080188810243
9,43.52911320035574,57.88688447769657,473499.28,0.5,0.7275094125885425,5.02,11.187672765612337
10,44.67829691271757,55.05318471799257,511015.24,0.5,0.816428822806476,5.4,11.635124163776043
11,45.597725828992495,52.54895901241333,546385.02,0.5,0.9029956820287736,5.5,12.08245970626184
12,46.32371998475416,50.3032655696662,579865.08,0.5,0.9879416375091995,6.12,12.534963904700955
13,46.850755939524824,48.258384477220226,611313.08,0.5,1.072183121557057,6.38,12.98916971180856
14,47.24369521026552,46.41482546948493,640924.66,0.5,1.1544901767413918,7.28,13.448626759651997
15,47.52249396518865,44.72027903624872,669136.22,0.5,1.2361412699293404,7.14,13.90927773321812
16,47.705561555075604,43.16348939303105,695940.82,0.5,1.3167833956336636,7.38,14.369023500593068
17,47.82897979926312,41.74731559225415,721410.3,0.5,1.3953805221610827,7.82,14.828164187845921
18,47.90446576038623,40.44673909692281,745782.36,0.5,1.4724056585849241,8.58,15.288668392815195
19,47.91018295006987,39.226595182422585,769072.16,0.5,1.5493199977579866,8.3,15.745478702984013
20,47.89458772709948,38.10664133134357,791417.26,0.5,1.6242338409920338,9.08,16.200252650749253
21,47.84475924279,37.05888682397065,812946.22,0.5,1.6984408671475864,9.12,16.649807019642196
22,47.76284779570576,36.08721649502792,833405.86,0.5,1.7711090499217554,9.48,17.10597137994822
