NUM_STATION,THROUGHPUT,SUCCESS_RATE,NUM_TX,ALPHA,FAIL_COUNT,TX_TRY
1,15.881082454580108,100.0,100000.0,7.999999999999999,0.0,1.0
2,27.79253589124635,87.50289495642286,199998.0,3.8397741866102653,0.14281958663432168,2.0
3,36.40567272265278,76.61361935726072,299214.72,2.490318534580517,0.3052498702678385,2.96
4,41.87749968237836,67.76534209485466,389128.3,1.8283539908031785,0.4756808983360001,3.8
5,44.608375682886546,61.58445914900953,456105.16,1.4195411792287487,0.6237889784146087,4.5
6,45.74950768644391,57.60975769689635,500046.16,1.1748635773986102,0.7358174381344466,5.24
7,46.45068923897851,54.601370091931685,535683.6,1.0005492916621308,0.8314572623496604,5.5
8,46.51661478846398,53.157218310158704,551017.76,0.8870623467985475,0.8812226548181178,5.4
9,46.570531063397304,51.95987795502148,564368.58,0.790803232074115,0.9245669917843123,6.24
10,46.72560983356625,50.653959461145405,580846.46,0.7141015728316326,0.9741869205797176,6.1
11,46.83541481387371,49.61052467276506,594456.92,0.6488704942939109,1.0156958607094364,6.46
12,46.887580993520515,48.801309693962686,604987.1,0.5985781478115617,1.0491377353003157,6.64
13,46.93486532842079,48.09344338978027,614510.8,0.5519123113994248,1.0792913868743712,7.02
14,47.04952356752636,47.09567989206684,629062.74,0.5159745621736626,1.1233486089695095,7.46
15,47.08712361834585,46.56082194517752,636797.44,0.4828279304263794,1.1477481270380707,7.56
16,46.92564477194767,46.640402308573655,633530.94,0.45610344073849235,1.144083886204951,7.18
17,47.00906492186507,45.95538817636732,644117.4,0.42775424480430596,1.1760209586084607,7.84
18,46.99610278236566,45.652027058554665,648218.74,0.40848566894423965,1.1905004199867106,7.64
19,47.05509465125142,45.10074412007238,656965.86,0.38590507303998545,1.2172749667475622,7.66
20,47.08265468174311,44.63973499541336,664139.24,0.3675320117538947,1.2401739594894252,7.92
21,46.93436666243172,45.043410692403114,656114.12,0.35231593412455886,1.220109665290258,7.92
22,47.01384512768391,44.49306858853594,665354.82,0.33622428200715293,1.2475628729509396,8.0
23,47.01315588870537,44.15336894649409,670463.92,0.32162949746022307,1.264865091577461,8.7
24,47.01192669292338,43.951892299423456,673519.5,0.3096001376402789,1.2752314767290849,8.66
25,46.976829500698756,43.7978617956755,675383.84,0.2976047232704192,1.2832491268051933,8.7
26,47.00472303392199,43.544307428569226,679719.76,0.2872975639223794,1.2965431884879999,8.8
27,46.98774298056155,43.44772609010105,680984.66,0.2763237159604342,1.3016458108626159,8.76
28,46.97861771058314,43.147096748351515,685596.3,0.26732384198940873,1.3176789340449298,8.94
29,47.03342332613393,42.848122634496896,691185.46,0.25777209066576956,1.3338464839131277,9.44
30,47.065973192732805,42.484425459729735,697585.06,0.24959776869032566,1.353866214823882,9.78
31,46.99192288146361,42.71179141516044,692779.76,0.24164038229779156,1.341305563426557,9.86
32,46.87857324355228,43.288834116088054,681896.2,0.23574885208522114,1.3100938650594234,10.02
33,46.893333121585584,42.86227632334293,688899.16,0.2290044216846457,1.3331054303301861,9.34
34,46.94740185491043,42.58796361562645,694135.98,0.22225108689908996,1.348115685703605,9.68
35,46.93783509083979,42.40353951336621,697012.9,0.21577516137354152,1.3583316018722784,9.72
36,46.94921229831025,42.26643907551143,699443.18,0.21009501534760097,1.3659930548220252,9.98
37,46.96975606657351,42.176278193451644,701245.14,0.20464312330784773,1.371055667363676,10.12
38,46.91333058061237,42.13405218505253,701104.7,0.19956789729913108,1.3734247618230824,10.16
39,46.94112565112437,41.99309031240497,703874.82,0.1945274081058332,1.3813804266090548,10.32
40,46.92558760005083,41.952850609906015,704316.84,0.19006197734504504,1.3836961604918754,10.4
41,46.94782111548723,41.74431196962053,708170.64,0.18527959150390355,1.3955803551699537,10.66
42,46.91102464743997,41.846039271122464,705895.56,0.1809603495344999,1.389724397045971,10.84
43,46.89261529665861,41.85161221848368,705524.34,0.1771981104007108,1.3894598276103978,10.86
44,46.933524965061636,41.667940794764974,709252.64,0.1732617650767267,1.3999944610225332,10.8
45,46.92438063778428,41.56370951457864,710892.78,0.1695328103658205,1.4060097912948337,11.26
46,46.925444670308735,41.520566703086715,711647.68,0.16607538462459673,1.4085215456057325,11.14
47,46.92626095794688,41.42973133151482,713220.16,0.16263797502512273,1.413776500796554,11.34
48,46.88055202642612,41.531273693115466,710783.54,0.15945397516262255,1.4079053887473898,11.42
49,46.88475416084359,41.36821450575018,713649.06,0.1562375071197209,1.417403755345847,11.22
50,46.89343793672976,41.252598179765755,715781.76,0.1532628020756048,1.424154657604529,11.86
51,46.88493202896707,41.25203974123351,715661.48,0.15030653083741946,1.4241994866267857,11.74
52,46.87277982467286,41.140593471512005,717414.22,0.14749972779557113,1.4307678000268245,12.22
53,46.884360309998726,41.13714984044675,717651.54,0.1449407022138298,1.4309758708971574,11.84
54,46.888587854148135,41.040619967248055,719404.36,0.1423287129507245,1.4366835179664244,12.66
55,46.90097509846272,41.04536580506344,719511.18,0.13978890982069747,1.4364100356318756,12.14
56,46.88070766103419,40.992572646672244,720126.58,0.1373047695958053,1.4395308007265908,12.36
57,46.88957883369331,40.886873203936304,722124.92,0.13495890118434054,1.4458335056231488,12.14
58,46.87978973446831,40.825381426478955,723061.42,0.13286461141911607,1.449544557204564,12.36
59,46.87995172150934,40.67725211095055,725696.98,0.1305478255042374,1.4584398350974284,12.5
60,46.92197941811712,40.476162608708,729956.18,0.1284645551977569,1.4706954084109296,12.82
61,46.915271248888324,40.31236717845774,732817.42,0.12631074138393075,1.4807283823673305,13.5
