NUM_STATION,THROUGHPUT,SUCCESS_RATE,NUM_TX,ALPHA,FAIL_COUNT,TX_TRY,AVG_OCW
1,15.881082454580108,100.0,100000.0,7.999999999999999,0.0,1.0,8.0
2,27.787447592427906,87.486,200000.0,3.822546148189066,0.1430401715158985,2.0,8.0
3,36.475597128700294,76.55984666666664,300000.0,2.4764857327598113,0.30616674305166935,3.0,8.0
4,42.539639181806635,67.00951417855197,399739.98,1.8363157390575686,0.4923295129735865,4.0,8.023049524098553
5,46.22273218142548,59.15917109149539,491987.32,1.4522718953295686,0.6903617336570679,5.0,8.393587415663346
6,48.263235294117656,52.902458628776415,574461.04,1.1822387407870607,0.8902742806535946,5.92,8.660177885673754
7,48.094143056790756,51.494978609997226,588094.52,0.996575853054499,0.9419477324085124,6.14,10.153246994139227
8,45.859531825689245,54.627424663315516,528614.14,0.8856901290241536,0.8305873111916934,5.46,13.038858756524256
9,45.929837377715685,53.40055152403495,541588.0,0.7942114389280621,0.8726468583159003,5.5,13.442939987526993
10,46.07607038495745,52.23201137262451,555467.2,0.7129421411664463,0.9145462936282975,5.78,13.828684127409911
11,46.122100114343795,51.457393128922725,564392.2,0.6501133874599246,0.9433653361201175,6.16,14.10866216557204
12,46.16274615677804,50.77572656984914,572473.28,0.5964736070638815,0.969451829640242,6.14,14.358775663545735
13,46.16363549739551,50.20296716720091,579015.7,0.5547602620131805,0.9919232355552563,6.86,14.571886444525536
14,46.27114089696354,49.510541376825074,588480.68,0.5150566620369816,1.0197851617721434,6.5,14.814057140960056
15,46.32315779443528,48.954162483709894,595838.1,0.48253906381584466,1.0427383886378174,6.22,15.023033559057165
16,46.19312984373015,48.957686798633986,594122.98,0.4545752960273618,1.0425806154913095,6.94,15.054983999183158
17,46.315245839156404,48.30153448943014,603785.72,0.42948914316206577,1.0703388466972332,6.44,15.282343842006815
18,46.3035986532842,47.99108315289014,607538.58,0.40686150323502196,1.083730428760103,7.26,15.40589433699143
19,46.377639435903944,47.50451565073841,614743.04,0.3849825320091769,1.1050706644135597,6.88,15.579222185920528
20,46.43297865582519,47.05436263965308,621364.66,0.3659082527020302,1.1252056660248433,6.92,15.748698685212899
21,46.25710837250667,47.43900413902051,613992.14,0.3518508538731327,1.1079787851398726,6.92,15.651354734617435
22,46.35886164400966,46.96780239305136,621515.92,0.3363406694408326,1.129118292089747,7.42,15.820268000760212
23,46.389356498538945,46.633729399609244,626380.0,0.3225111751353306,1.1443957622813117,7.32,15.945701992387377
24,46.36285414813875,46.474158502162275,628171.88,0.3090181238941349,1.1517480831650415,7.72,16.013819068284864
25,46.38090141024012,46.32583626573805,630428.28,0.2975678901148257,1.158645937550161,7.66,16.076506847720886
26,46.401969254224376,46.08851503936544,633962.56,0.28639143987003224,1.169760377813356,8.1,16.176408836036718
27,46.39069686189811,45.95812669183991,635606.34,0.27702497894870265,1.1759185930035523,7.88,16.23033667348504
28,46.414200863930894,45.762231253404394,638650.78,0.2675392314709568,1.1852390845889103,8.02,16.308056484335644
29,46.43891818066319,45.531287887422884,642232.02,0.2581109600804476,1.1963091482879888,7.7,16.394386315311145
30,46.50693368059968,45.18143719697585,648152.68,0.2498526359132202,1.2133241950785074,8.12,16.523193561891784
31,46.425485961123115,45.33694477831364,644798.34,0.24240293387076067,1.2057399530386779,8.36,16.487580466373366
32,46.242628001524594,45.954006216599,633634.7,0.2361393679428534,1.1761093916920684,8.12,16.292947261216955
33,46.32245267437429,45.598193663285784,639681.42,0.22867347678107242,1.1930782622524851,8.44,16.422159622421532
34,46.352763308347114,45.34051418121836,643737.56,0.22204198586914706,1.2055340596303774,8.58,16.51699759696097
35,46.34143692034048,45.160548958621035,646145.06,0.216196484033696,1.2143531401374212,8.2,16.58702309362011
36,46.378443018676144,45.055746667355926,648165.28,0.2105168027160163,1.2194971834397306,8.76,16.629589203366866
37,46.375165163257535,44.94290551135652,649746.88,0.20473414305488277,1.2250589592249126,8.46,16.674848655256486
38,46.36074196417228,44.91612089496796,649931.9,0.1997353333588786,1.2264006999722274,8.66,16.694273071373214
39,46.364715411002415,44.817456158248916,651418.5,0.1947207761262836,1.2312849050000754,8.6,16.734130809487503
40,46.36931457248127,44.81227856148224,651558.6,0.19007956297847237,1.2315562885276317,8.66,16.74632603368471
41,46.39354910430695,44.6214232876497,654687.32,0.18547579135261658,1.241094844918814,9.04,16.82022248741674
42,46.34958073942321,44.665588506240645,653420.36,0.18123411644042858,1.238870855786142,9.6,16.806500828976496
43,46.32661351797738,44.707254614022446,652487.76,0.1775933816107954,1.2368125663130707,9.4,16.798895730223002
44,46.3675930631432,44.56721615118471,655117.02,0.1735905253794453,1.2438211590890764,9.46,16.854107752579623
45,46.37383750476433,44.45359230987701,656879.72,0.16970922737926858,1.2495627663981406,9.54,16.89889097462239
46,46.39913924533097,44.41747525763701,657772.7,0.16615394013643425,1.251378599993249,9.1,16.91730579895772
47,46.390715919197035,44.2902968019236,659541.8,0.16298561452251425,1.2578853131412486,9.84,16.964078155425035
48,46.33066954643629,44.37108875355233,657488.8,0.15952526022344884,1.2537569632176424,9.72,16.943821135674934
49,46.35546944479736,44.25277790598132,659599.4,0.15651251751777376,1.259768780050759,9.72,16.99006787909982
50,46.36766293990598,44.16031465298147,661154.28,0.15349564340859187,1.264526551047786,10.06,17.024262282370948
51,46.35027315461821,44.14801241820884,661090.52,0.15052879449393905,1.2651386204059074,9.9,17.03115433085169
52,46.37627683902935,44.04752851044065,662970.4,0.14761363620069645,1.2703045307874121,9.82,17.074672417655744
53,46.36166941938764,44.00735157498998,663366.64,0.14505193636223002,1.2723814926581059,10.26,17.089783928243637
54,46.38590077499682,43.945718825620304,664644.2,0.14246383438367272,1.275585299773386,9.84,17.115418634100685
55,46.402972938635514,43.92529199339041,665198.02,0.13988290592314123,1.2766273427357757,10.12,17.127602183086914
56,46.36777728369965,43.89337995969741,665176.82,0.13747937568297502,1.278274068642625,10.54,17.142919907316063
57,46.3766770423072,43.81914647190911,666431.38,0.13506756902274455,1.2821383185906334,10.7,17.170893988185536
58,46.39561999745902,43.71092844633007,668354.2,0.13287652476540468,1.2877960465436906,10.34,17.21601049729252
59,46.40256638292466,43.636002601694315,669602.12,0.130732559813176,1.2917379323365923,10.9,17.246157978139422
60,46.457362469825945,43.43170347072555,673546.36,0.12846686705091703,1.3025048169870925,10.74,17.320846253904865
61,46.484280904586456,43.25457954171195,676696.3,0.12636419661685047,1.311931917463037,10.68,17.390630120133945
62,46.468564985389406,43.20825573045733,677192.9,0.12438954754706869,1.314421992098757,10.74,17.40793869583836
63,46.425914750349385,43.546438976681486,671316.92,0.12250480719572664,1.2964575231924957,10.62,17.293489802055515
