NUM_STATION,THROUGHPUT,SUCCESS_RATE,COLLISION_RATE,NUM_TRANSMIT,ALPHA,NUM_FAIL,DELAY,CONTENTION_STATION_NUM,AVG_OCW,RU_COLLISION_RATE
1,12.052839649021315,100.0,0.0,100000.0,7.999999999999999,0.0,0.0,1.0,8.0,0.0
2,21.090015427634743,87.48996006723812,12.510039932761885,199999.68,6.604751035385878,0.14298288328630596,11.863003860498234,2.0,8.878746298474136,1.582194866566416
3,27.680394851026904,76.56592119591318,23.434078804086823,299948.98,5.565035837090588,0.3060497812755415,25.392338252869127,3.0,9.929628000883724,4.36266569137852
4,32.24820412689229,67.04694004356645,32.95305995643355,399059.06,4.811886843157297,0.4914686621885939,40.77617196446326,3.98,11.188936125194555,7.751903397738175
5,35.13690338443738,59.055488925743965,40.944511074256035,493643.86,3.9145245787266414,0.6932817717289858,57.520202036810495,4.98,12.631935313832734,11.533537156210585
6,36.6574655288786,52.750857595704055,47.249142404295945,576558.44,3.4057478378067354,0.8956437673377019,74.30977208847446,6.0,14.16143611220141,15.866381601681855
7,37.319771478160256,48.11367434558511,51.88632565441489,643548.14,2.9681547402428303,1.0783343546126125,89.46724473349924,6.52,15.614548524225256,18.973848082004814
8,37.55454392054767,44.70268570440102,55.29731429559898,697010.68,2.6796050484645972,1.236909929985086,102.62394307100263,7.2,16.916433019171166,21.186156507901316
9,37.545509111946764,42.052695611016404,57.947304388983596,740755.44,2.369015692345649,1.3778448946217252,114.3170352169753,8.06,18.091054839742785,23.97966882957659
10,37.35814771960273,41.80849631356,58.19150368644,741363.72,1.691140193067617,1.3917373463766396,115.46966415417704,8.38,18.223327222621805,22.990275688913503
11,37.14930575643623,41.73090624663249,58.26909375336751,738590.0,1.313103759781151,1.3961621655922496,115.83678255485776,8.12,18.261654811810285,23.27801740180611
12,36.98228473628387,41.74766958514829,58.25233041485171,734974.18,1.109251977805001,1.3951888542435211,115.75602885887646,8.44,18.250763070515845,23.205354308993392
13,36.793597531578435,41.769077372488255,58.230922627511745,730849.48,0.9667363437020711,1.3939379181161566,115.6522411902613,8.26,18.22831621008718,22.89018515343027
14,36.670470542859896,41.82299674947223,58.17700325052777,727464.58,0.8534647232455848,1.3908368921893226,115.39495527116372,8.3,18.188438182526728,22.613706261033354
15,36.54572606306047,41.863952774040854,58.136047225959146,724280.62,0.7741146564607928,1.3884943543098016,115.20059958837562,8.04,18.153997095276974,22.54092449314744
16,36.44788352135763,41.887967875722445,58.112032124277555,721927.44,0.7002615238511984,1.3870965177850503,115.08462388759006,8.02,18.138099524629794,22.498307243833214
17,36.343730112814576,41.88678645652457,58.11321354347543,719884.84,0.6424168996494007,1.3871500819058267,115.08906799556263,8.18,18.134524663277414,22.506167628152927
18,36.29710008678045,41.89812362886267,58.10187637113733,718766.62,0.5917902754882863,1.386484963772701,115.03388447429346,8.38,18.12443283612592,22.55330518769173
19,36.23028637547006,41.91153930919939,58.08846069080061,717213.94,0.550631617722073,1.3857150191418952,114.97000370816477,8.02,18.118981415558867,22.865505707298396
20,36.16092710442582,41.909954264091986,58.090045735908014,715867.98,0.5159440619806652,1.3857936549771654,114.97652796614547,8.22,18.11294329920388,22.75318975441993
21,36.1123493395044,41.88238094534104,58.11761905465896,715376.98,0.48078822342588073,1.387350008710836,115.10565552272064,8.12,18.121528010516773,22.455814174486658
22,36.06049561276636,41.916358533815966,58.083641466184034,713770.7,0.4565235085647112,1.3853905951962604,114.94308690224334,8.28,18.102718520698343,22.395700914327307
23,36.019383376723574,42.0099261317315,57.9900738682685,711368.9,0.4298126514655014,1.3800582554235905,114.50067333598446,8.72,18.059696768114915,21.863199301287494
24,35.96549030951692,41.92743379866315,58.07256620133685,711702.06,0.40723638668100165,1.3847275119122568,114.88807220833613,8.54,18.093990267909277,22.044726240832382
25,35.94755568411918,41.92190443504412,58.07809556495588,711441.02,0.38790698208188645,1.3850148534874265,114.91191236414481,8.94,18.09656785395988,22.426299789423847
26,35.92083935975316,41.88554223541639,58.11445776458361,711529.44,0.370429871830604,1.3870783668548512,115.0831179412133,8.94,18.107870550345634,22.06009847037525
27,35.874484138463025,41.909157784887036,58.090842215112964,710210.82,0.3524102130065582,1.3857134639633113,114.96987467810801,9.16,18.099529927458892,21.89638787924019
28,35.83203162665123,42.068699343412575,57.931300656587425,706680.08,0.3391284950375393,1.3766622871059666,114.21891663660784,9.42,18.021205860852866,21.49549930482255
29,35.80040015427634,42.025801147848824,57.974198852151176,706777.06,0.32396699396331696,1.379057925960559,114.41767800109567,9.3,18.03999805540687,22.00989091752522
30,35.791305081477184,41.9568981683628,58.0431018316372,707757.82,0.3111150445883562,1.3829513802564692,114.74071011711875,8.72,18.072590850483646,22.30680134301439
31,35.76980763667921,41.966697096153375,58.033302903846625,707167.5,0.30028786416163966,1.3824028073494594,114.69519612016995,9.2,18.066030511837088,22.00289195617936
32,35.75117153601388,41.973836548407164,58.026163451592836,706678.84,0.2890023624706373,1.38197733049433,114.65989515645357,9.34,18.06343235219646,22.031625551778642
33,35.740427634750745,41.94855069839614,58.05144930160386,706892.46,0.2785492128490679,1.3833832700407809,114.77654314874351,9.14,18.0702957768773,22.45373542274167
34,35.71251084755568,41.93159656934809,58.06840343065191,706625.72,0.26904662275604,1.3843511292283532,114.85684448981802,9.14,18.079154916807465,22.42402320560354
35,35.683087455404504,41.907925761250254,58.092074238749746,706442.42,0.260385482300765,1.3856380048603123,114.9636139872504,9.38,18.088842921596736,21.51143643806017
36,35.695808022370066,41.85632750632505,58.14367249367495,707565.44,0.2520476052430168,1.3885940981710068,115.20887513705209,9.28,18.111446945908888,22.506018470257544
37,35.67406952077909,41.827150838758826,58.172849161241174,707627.54,0.24472083760742128,1.390249980896214,115.34626041499709,9.74,18.128229004776816,22.135249195331227
38,35.64487031144538,42.01432893313752,57.98567106686248,703898.54,0.23706690677782494,1.3795951470472338,114.46225016021491,9.78,18.04265549622274,21.603516610398966
39,35.603774949378085,42.215178872158084,57.784821127841916,699742.08,0.23109835849219024,1.3682431792403833,113.52040009521613,9.62,17.94600519214113,21.807742181975012
40,35.60631086684023,42.138271108940216,57.861728891059784,701068.98,0.22416116427543506,1.3725449292734613,113.87730769196054,10.04,17.98372655626919,21.841837061915673
41,35.58893308263426,42.048849418913775,57.951150581086225,702217.02,0.21752832756793555,1.3775881551052616,114.29573405277334,9.74,18.024513539818198,21.879159508505353
42,35.58396731269888,42.01886066624716,57.98113933375284,702620.22,0.21212363467419387,1.3792553450336293,114.43405746675016,9.5,18.03560765884169,23.067344861932646
43,35.57419245974353,42.007352381422834,57.992647618577166,702619.48,0.20623223516987493,1.3798849530614112,114.48629478559917,9.98,18.038646312078093,21.287657255270368
44,35.592739369395424,42.02287339271081,57.97712660728919,702726.26,0.20127303585411294,1.3789840716944701,114.4115504603468,10.1,18.03129235498364,21.781698680258845
45,35.55101967023431,42.00270870727656,57.99729129272344,702239.46,0.19610393197158005,1.3801307333188368,114.50668668199727,10.08,18.043411501237244,21.896531179883542
46,35.54897791919777,41.989215869516265,58.010784130483735,702424.8,0.19173708314112228,1.3809085146689637,114.57121764505459,10.28,18.046693010259947,21.84127582276064
47,35.55843939832223,41.98190548138662,58.01809451861338,702734.0,0.18692903787325107,1.381282919370355,114.60228125431962,10.42,18.05067662795192,21.830368622861624
48,35.53470735705332,41.95838790049677,58.04161209950323,702658.64,0.18316578798921315,1.3826187207404357,114.71311002239247,10.64,18.060441433005597,21.968903217294137
49,35.526791051971834,42.03613409446783,57.96386590553217,701202.92,0.17897595042970174,1.3781987627738135,114.34639494981776,10.8,18.027464919458488,21.75711674758684
50,35.513918619226686,42.06989087149778,57.93010912850222,700386.4,0.17500110730385457,1.3762573890204408,114.18532305224794,10.7,18.007210460977486,21.878050837637616
51,35.50967843023817,42.019880011537474,57.980119988462526,701136.18,0.17110205670196316,1.3790320879943538,114.41553427671555,10.62,18.028711505283592,22.18085517058711
52,35.50725822003664,41.99973115261439,58.00026884738561,701424.64,0.167587523165894,1.3801730114519029,114.51019441414148,10.6,18.03816930232796,21.093389468091413
53,35.491305081477186,41.99230314317244,58.00769685682756,701233.84,0.16426566979596594,1.3805958725858454,114.54527835670243,10.72,18.044493620300873,21.81673283129268
54,35.48091071256389,41.977791397545495,58.022208602454505,701270.66,0.16081276640689396,1.3813918050122729,114.61131527825826,11.28,18.046970818918734,22.096732136756717
55,35.47892681515765,42.01086406151091,57.98913593848909,700679.38,0.15762751534734093,1.3795212201432958,114.45611659284897,10.6,18.0345293282952,21.146680058987204
56,35.48469289364575,42.005790671649265,57.994209328350735,700877.84,0.15456834251873972,1.3797885359773505,114.47829525296882,10.68,18.034116816691665,22.331121369348285
57,35.455414135570344,41.994396412759016,58.005603587240984,700489.76,0.15163865412717034,1.3804122030336572,114.53003966129647,11.1,18.03861742867488,21.864497928335183
58,35.46094879953717,42.00407875252582,57.99592124747418,700437.38,0.14871557950119943,1.3798400972740696,114.48257319063501,11.12,18.036368744417352,21.34485371022346
59,35.45217192170476,41.979550798909095,58.020449201090905,700673.48,0.14603399173412213,1.3812205694805149,114.59710820865936,10.68,18.04729194650676,21.32709944510918
60,35.46150564072896,41.95655204298013,58.04344795701987,701241.9,0.14350912412159625,1.3825387595747487,114.70647580439775,11.2,18.057862311855168,21.532956145991797
61,35.46147912448173,41.9553314271573,58.0446685728427,701261.78,0.1407363965466333,1.382578851738669,114.7098021710539,11.08,18.05360833272252,21.97283853156611
62,35.4439663484717,41.94039805724863,58.05960194275137,701165.12,0.13830743484770117,1.3834272095997815,114.78018872607467,11.36,18.065325525070275,21.356692903012846
63,35.436348953813514,41.954058071698476,58.045941928301524,700786.08,0.1360164755489288,1.3826303754119795,114.71407698718112,11.86,18.05558082937421,22.000923533395554
64,35.44359994214638,41.9450762927717,58.0549237072283,701079.7,0.13389961347588364,1.3831396330772363,114.75632907715215,11.5,18.059801271931924,22.43640818145348
65,35.435452222543624,41.896011631677894,58.103988368322106,701739.2,0.13147906111923605,1.385869394929972,114.98281195854993,11.92,18.084279421525807,21.850342335023075
66,35.4407795776685,41.841237027611115,58.158762972388885,702763.52,0.1294494294312538,1.388980113206285,115.24090203249905,11.82,18.110540344159986,22.788737453976086
67,35.427581718252824,41.686567854052846,58.313432145947154,705108.34,0.1273769069787892,1.3978456160135833,115.97645506941498,11.64,18.18289148080901,22.47612234079864
68,35.439511618937416,41.645489471794974,58.354510528205026,706041.56,0.12513681109873231,1.40017369966658,116.1696115139368,12.16,18.203485179810816,21.832021094882993
69,35.43026950149456,41.758578560239236,58.241421439760764,703945.82,0.12333733733286646,1.393660049796278,115.6291870114976,12.02,18.151681398334865,21.80759913439965
70,35.388814964805704,42.075184560072245,57.924815439927755,697831.26,0.12167538248337025,1.3756721561887995,114.13676745467232,11.92,18.00264734601314,21.947531421011877
71,35.35628676116094,42.43447262019656,57.56552737980344,691286.84,0.1199997555694722,1.3555564847727035,112.46781042862168,11.76,17.835457261082578,21.006270205793836
72,35.33947546041848,42.41059664171942,57.58940335828058,691347.1,0.11826329160530938,1.3568142043020308,112.5721609025309,11.8,17.84357274697029,21.873383615687327
73,35.34065904927201,42.2848428313489,57.7151571686511,693426.46,0.11650619764351246,1.3638323297611188,113.15444073562051,12.3,17.904239714483865,21.572277834486798
74,35.36953283193521,42.2011970104501,57.7988029895499,695368.46,0.11465464304212133,1.3684767684633754,113.53978052586933,12.8,17.940015442270337,21.674679273224832
75,35.380698582586064,42.153087881204875,57.846912118795125,696382.06,0.11308086895233084,1.371201866480757,113.76587645817546,12.82,17.966047897650945,21.11680379048874
76,35.37579307684891,42.11061246450536,57.88938753549464,696987.72,0.11153392330891757,1.3735607407827732,113.96158754126513,12.3,17.982657378929922,22.372518483238352
