NUM_STATION,THROUGHPUT,SUCCESS_RATE,NUM_TX,ALPHA,FAIL_COUNT,TX_TRY,AVG_OCW
1,15.881082454580108,100.0,100000.0,7.999999999999999,0.0,1.0,10.000000000000002
2,27.793908016770423,87.50634,200000.0,3.808155970982672,0.1427740541086103,2.0,10.000000000000002
3,36.481704993012315,76.572743269556,299999.7,2.4914939070595934,0.30594879376212747,2.96,10.000000000000002
4,42.56999745902681,67.01475891782958,399993.62,1.835759124635384,0.4922100738082857,3.98,10.000000000000002
5,46.49707788082835,58.702769759376366,498754.64,1.4495820292541635,0.703498592967017,4.88,10.000000000000004
6,47.5350019057299,54.47796802477671,549430.14,1.1906574851110439,0.8356023211782931,5.46,10.0
7,47.59385719730657,52.359720820068794,572365.56,1.03219212375469,0.9098695054200392,5.76,10.0
8,47.959579468936596,49.892462053778026,605285.52,0.9044116472200868,1.0043115560133533,5.92,10.0
9,48.22970080040655,47.61075072453001,637866.08,0.8083679653327606,1.1003699974807781,6.62,10.0
10,48.50145470715283,45.09399409251513,677260.7,0.7256511276544607,1.217587223891127,7.06,10.0
11,48.662082327531444,42.720250190371345,717260.34,0.6562551089040841,1.3408182020248722,7.38,10.0
12,48.566745013340125,41.91847869864381,729547.08,0.6052907944627711,1.385588263676883,7.58,10.0
13,48.473986786939385,41.10887711278444,742494.12,0.5591429947723798,1.4325653668487528,7.88,10.0
14,48.41984500063525,39.99096662711674,762397.48,0.5207564135223526,1.5005663525907007,8.18,10.0
15,48.33395057807141,39.071876445776994,778946.96,0.4881074478735804,1.559384154730326,8.42,10.0
16,48.23730148646932,38.47521436683771,789445.12,0.45833044557555724,1.5990777250025503,8.76,10.0
17,48.1494409858976,37.06452703013796,817998.82,0.42890663572774324,1.6980020163655813,9.12,10.0
18,48.05884258671071,36.617116593518354,826435.64,0.41054489323381554,1.7309772011419928,9.46,10.000000000000002
19,47.93156206327023,35.926946679352156,840080.94,0.3880248536716798,1.7834343471118879,9.58,10.0
20,47.85515499936478,35.51040923611894,848580.2,0.36890798793544227,1.816079439408606,9.76,10.0
21,47.81873014864692,36.073679793893945,834694.44,0.3541414084677586,1.7720998207074898,9.74,10.0
22,47.68510989709058,34.840490599974174,861823.84,0.3372435271553955,1.8702370286179555,9.84,10.0
23,47.58072036590014,34.105205345970106,878476.82,0.3222142946869092,1.9321234534662244,9.84,10.0
24,47.47787765214077,33.725719104839534,886441.4,0.3090211634082463,1.9650930642030904,10.46,10.0
25,47.42770931266676,33.697868076771634,886236.58,0.298294632240413,1.9675535637686137,10.46,10.0
26,47.308166052598146,33.124204807172845,899312.4,0.2871054214247905,2.018930689783123,10.98,10.0
27,47.220651759623955,32.78301225008289,906991.22,0.27680138876037275,2.0503686228275555,11.02,10.0
28,47.102601321306054,32.301868075803036,918199.8,0.2670712271566845,2.095796245233232,11.28,10.0
29,46.941646550628896,31.604267685826564,935260.52,0.25737496021999595,2.1641409158715885,11.24,10.0
30,46.86431520772455,31.380219384747544,940386.0,0.24927892639479887,2.186734502261983,11.92,10.0
