NUM_STATION,THROUGHPUT,SUCCESS_RATE,NUM_TX,ALPHA,FAIL_COUNT,TX_TRY,AVG_OCW
1,15.881082454580108,100.0,100000.0,7.999999999999999,0.0,1.0,8.0
2,27.79442891627493,87.50798,200000.0,3.8340372215623533,0.1427529975314046,2.0,8.0
3,36.47052153474781,76.54919333333333,300000.0,2.4819267146767645,0.3063500643720247,3.0,8.0
4,42.54396518866725,66.97274349854652,399999.8,1.8249152722046633,0.4931474444521416,4.0,8.000001221609086
5,46.53201626222844,58.605217918570716,499960.26,1.4419311000438984,0.706330123294605,5.0,8.000370067414165
6,48.81501715156905,51.423358925130394,597740.78,1.1829782908713122,0.9446399388553924,5.98,8.023594475385963
7,49.177432981832034,47.937039624948255,645972.9,1.0011958090330288,1.086079192561946,6.34,8.67830268412856
8,47.689858340744514,50.475531331512876,594928.64,0.9001063966096694,0.9811719189949198,6.18,11.04133670304599
9,47.739184982848435,49.09878913787588,612243.08,0.8045073008170065,1.0367303684754126,6.44,11.283559424291019
10,47.86597636894931,47.57139702971894,633578.9,0.725775616690101,1.1021280601859298,6.46,11.584347521952006
11,47.90798183204164,46.49674969529106,648791.22,0.6646593383949976,1.1507105308796421,7.14,11.825379852398612
12,47.903770168974724,45.49445900114848,663026.42,0.6088009668414404,1.1980907664186626,7.62,12.062615064591624
13,47.867942446957194,44.89927539896852,671313.26,0.5639960536967873,1.227233876248708,7.78,12.231009155922125
14,47.84970778808282,44.20205627880163,681642.36,0.5233052348264677,1.2623699481112143,7.78,12.414495466150608
15,47.825107991360674,43.60046345257914,690692.24,0.4918080870764904,1.2935914191694848,8.12,12.572936652260967
16,47.70492313556092,43.625872196065345,688555.12,0.4641579317616669,1.2922473524131521,8.22,12.62041142328782
17,47.72620696226653,42.88030123917543,700839.86,0.4379863085912904,1.33211004746082,8.3,12.795796726110348
18,47.696728497014355,42.45023325638933,707503.02,0.4139658243590562,1.3557271860461548,8.9,12.906025844558966
19,47.69966967348495,42.03716486934261,714499.2,0.3942861125812191,1.3788792439699338,8.92,13.006138465724296
20,47.700146105958595,41.466548735485596,724338.58,0.3733858423340305,1.411598712437692,8.98,13.115433578779799
21,47.539562952610865,42.04758880549099,711924.4,0.35892482632836603,1.3782895912184485,9.18,13.080996066460061
22,47.58014229449879,41.36108569316696,724358.7,0.3429837782017661,1.4177635837944382,9.62,13.195710664724036
23,47.57703913098716,41.046214593885296,729867.7,0.32761253892628583,1.4363019953745462,9.64,13.25759052156467
24,47.53192097573371,40.820777162297716,733202.46,0.3147322421249486,1.4497659413739243,10.06,13.306555378900306
25,47.50645089569305,40.57183586918716,737305.84,0.3030061946217873,1.4647890591354746,10.18,13.353804254838007
26,47.49131304789735,40.32693559468583,741547.16,0.2911878746831141,1.4797584403538664,10.16,13.394270759385195
