NUM_STATION,THROUGHPUT,SUCCESS_RATE,NUM_TX,ALPHA,FAIL_COUNT,TX_TRY
1,15.881082454580108,100.0,100000.0,0.0,0.0,1.0
2,25.804637276076747,88.05941913508194,184519.12,0.0,0.13559584962607119,1.92
3,32.14875174691907,79.48504875049106,254681.88,0.0,0.2580968757132067,2.56
4,36.46273027569559,73.01912239906808,314435.7,0.0,0.3695039708380941,3.02
5,39.524174183712354,67.8527040548905,366788.02,0.0,0.4737805281980444,3.62
6,41.78210202007369,63.58298086113773,413779.5,0.0,0.5727473710984186,4.18
7,43.49189429551519,59.94824647069203,456826.7,0.0,0.6681098858907893,4.84
8,44.76230783890231,56.7839949486681,496370.66,0.0,0.7610671448434546,5.32
9,45.76076737390421,54.00566820466679,533548.28,0.0,0.8516571446553445,5.46
10,46.516725956041164,51.50809246771551,568660.94,0.0,0.9414428857506917,6.0
11,47.07316097065177,49.2512017926943,601833.38,0.0,1.0304074742847111,5.98
12,47.525530428154006,47.21217126410706,633859.2,0.0,1.1180978859726203,6.56
13,47.84298691398805,45.33550134671392,664507.08,0.0,1.2057724312470441,7.24
14,48.02458709185619,43.5880163484823,693771.24,0.0,1.294197141107911,6.84
15,48.17075022233516,41.979951056513585,722538.9,0.0,1.3820868099851489,7.52
16,48.21484563587854,40.46943779703249,750193.62,0.0,1.4709947460043602,7.82
17,48.20519311396265,39.06720928927492,776964.7,0.0,1.5597003365077164,7.6
18,48.13859103036463,37.73666900208705,803247.9,0.0,1.6499460217388673,8.04
19,48.049228179392706,36.49915475297283,828940.52,0.0,1.7397921165720123,8.38
20,47.88104116376572,35.31186869607361,853812.82,0.0,1.8319065215256272,8.84
21,47.71071973065684,34.1972367938275,878505.98,0.0,1.924218597872036,8.8
22,47.50076864439081,33.140364131111035,902533.02,0.0,2.0174908602389197,9.92
23,47.26070067335789,32.12704232192624,926294.82,0.0,2.1126453966292114,9.48
24,47.00294752890357,31.16562537055307,949661.92,0.0,2.2086641208871676,10.16
25,46.73015499936476,30.25169490539809,972673.98,0.0,2.305611312524704,10.26
26,46.43178439842459,29.3757598374171,995281.9,0.0,2.4041542641325657,10.46
27,46.12343094905349,28.540033450280724,1017622.98,0.0,2.5038523245905977,11.1
28,45.77918307711853,27.72727963544215,1039634.4,0.0,2.606565068488996,11.34
29,45.462520645407196,26.963428107796016,1061691.16,0.0,2.708724615857898,11.18
30,45.117065811205705,26.224690571418186,1083303.76,0.0,2.813230702349034,11.68
31,44.73938508448737,25.50361759299492,1104607.62,0.0,2.9209745745054736,11.44
32,44.36799644263755,24.81502634003651,1125835.4,0.0,3.0298089110081667,12.04
33,43.98830199466395,24.154129016084745,1146741.78,0.0,3.140110513223856,12.36
34,43.602706136450244,23.515286989715968,1167570.1,0.0,3.2525579104150393,12.6
35,43.20999555329689,22.897745946647273,1188259.48,0.0,3.3672940417892523,13.04
36,42.81632257654681,22.304249431699915,1208764.06,0.0,3.483382712015939,12.84
37,42.42236056409606,21.73353565474838,1229091.64,0.0,3.6011898121040544,13.12
38,42.0121331469953,21.17217152749725,1249479.38,0.0,3.7231824149714026,13.12
39,41.59547071528395,20.633417153105302,1269389.08,0.0,3.8464959989632352,13.46
40,41.1914305679075,20.115594326566324,1289418.38,0.0,3.9712734013391016,13.76
41,40.763108245458014,19.603920890576266,1309315.24,0.0,4.101017442461149,13.84
42,40.341529030618716,19.112734843038893,1329074.68,0.0,4.232122321465824,14.44
43,39.91953373141913,18.63797764416472,1348672.54,0.0,4.365360658732587,14.36
44,39.51008766357515,18.18204588633843,1368311.88,0.0,4.499954552477607,14.62
45,39.083353449371096,17.733900059570722,1387737.6,0.0,4.638847229544547,14.98
46,38.653455723542116,17.29616510952635,1407208.04,0.0,4.78163500073448,15.48
47,38.236901283191465,16.87651424293153,1426657.74,0.0,4.925329144616618,15.4
48,37.807054376826336,16.465452257915253,1445836.06,0.0,5.073250372540244,15.74
49,37.388813365518985,16.069919431606987,1465034.42,0.0,5.2227817013887785,16.18
50,36.95250921102783,15.677786062042758,1484154.36,0.0,5.378467417326298,15.86
51,36.53739994918054,15.303191858077444,1503403.0,0.0,5.534538310517226,16.06
52,36.12639118282303,14.941262657016196,1522499.44,0.0,5.692865215048686,16.84
53,35.69304726210139,14.581344666078062,1541366.32,0.0,5.858149824574786,16.92
54,35.26955914115106,14.233155691692989,1560338.02,0.0,6.025766685851453,16.7
55,34.85204548342015,13.895730546018022,1579307.7,0.0,6.196461701357077,16.98
56,34.426238724431464,13.564177956212443,1598144.24,0.0,6.37242328139594,17.8
57,33.997357387879575,13.239416274010756,1616948.42,0.0,6.553278323112154,17.94
58,33.58791132003557,12.9289952374683,1635829.68,0.0,6.734560041301548,17.84
59,33.17478719349511,12.625149803148862,1654594.0,0.0,6.920599903608458,18.38
60,32.748440477702964,12.322997970311619,1673378.26,0.0,7.114853559606173,18.3
61,32.34403188921357,12.03691903274338,1691993.52,0.0,7.307768524049542,18.86
62,31.940560284589004,11.755394572323604,1710902.1,0.0,7.506604492455489,18.62
63,31.531142802693438,11.479031874277254,1729634.26,0.0,7.711582042537076,19.44
64,31.111739296150425,11.205173452334325,1748338.68,0.0,7.924369141320774,19.7
