NUM_STATION,THROUGHPUT,SUCCESS_RATE,NUM_TX,ALPHA
1,15.881082454580108,100.0,100000.0,1.9999999999999998
2,27.46075784525473,87.64728785268177,197284.9,1.4734153110066543
3,35.173488120950324,77.53754483462296,285642.72,1.3056939768320779
4,40.03807965950959,69.61662725442437,362142.9,1.2233589619366163
5,43.52739804345064,62.96294721970775,435308.7,1.1698842181399656
6,45.598793037733465,57.826912313597596,496527.24,1.1155304644800865
7,46.73407127429806,53.99282401517621,545026.0,1.0453685832143167
8,47.12218904840554,51.676160759618995,574188.88,0.9578265891208614
9,46.91920658112057,51.04160420593751,578823.26,0.8393804904263695
10,47.553570067335784,48.19027751705286,621360.32,0.8201774810625544
11,47.952521915893804,45.87007522709272,658266.5,0.8015427413060029
12,48.209544530555206,43.79898679344817,693088.74,0.7835060838792923
13,48.3287034684284,41.939216562441814,725612.18,0.7647554792797558
14,48.33152394867234,40.50315451469447,751383.18,0.7465502026178821
15,48.27149980942702,39.703349577351574,765567.5,0.7315549458414052
16,48.19643946131369,38.73950551507079,783394.96,0.7136468863965902
17,48.116224113835585,37.55534045870063,806751.46,0.6974025591193193
18,48.029688095540585,36.57193636098477,826954.4,0.6798585539824589
19,47.915925549485465,35.78771990957958,843073.96,0.6598495003646727
20,47.793393469698906,35.05284523711626,858547.88,0.6404390799218311
21,47.665684157032146,34.318647820236414,874571.98,0.6236060968602947
22,47.54027760132132,33.79510662084874,885783.74,0.609706371883027
23,47.488076483293106,33.64661182237677,888716.28,0.5927922348113777
24,47.38666624317113,33.22511087577922,898068.72,0.5747198181853824
25,47.290687333248634,32.77978867427254,908425.62,0.5583120493792542
26,47.186469317748696,32.40828862438752,916814.14,0.5396358985001973
27,47.103331851098986,32.15442722537207,922424.32,0.5245697187248166
28,47.02613708550376,31.89095157451707,928520.92,0.5099802796766179
29,46.952791894295515,31.6364651191748,934530.44,0.49023559321674687
30,46.898805742599414,31.513327230285636,937103.08,0.47257915637440845
31,46.91619235167068,31.726958454380846,931138.5,0.45943302717068085
32,46.870943971541095,31.712651646114587,930660.36,0.4428654461754054
33,46.890223605640955,31.651749026521102,932834.6,0.4260479977065817
34,46.85793736501079,31.667679137131557,931723.64,0.41005927563442074
35,46.857492694702074,31.785113406827165,928272.38,0.3921706142271741
36,46.88253398551644,31.918937647195225,924875.14,0.3766269408472808
37,46.898869266929225,32.056290596451106,921232.7,0.35898776974816954
38,46.91456930504383,32.21956466104709,916871.7,0.34488427301399743
39,46.98865773091094,32.697319907258134,904901.88,0.33145801475925507
40,47.036081819336815,33.06308705439549,895793.78,0.3149827645934674
41,47.07864629653158,33.38709019968926,887904.34,0.2987507440345606
42,47.133578960741964,33.83754064103121,877106.3,0.28363004187953167
43,47.176200609833565,34.37583780935015,864152.34,0.2656546575975209
44,47.22197306568417,34.94792927794771,850831.26,0.2523426609348467
45,47.24121140896964,35.602487468313925,835529.32,0.23587346176553184
46,47.27347223986787,36.28881902237907,820286.78,0.22068169489368505
47,47.29206263498918,37.22334693846179,800008.26,0.20757042966413133
48,47.247160462457124,38.3159395863174,776457.2,0.192966480717826
49,47.21716427391689,39.26257332551842,757255.84,0.17940688360620316
50,47.07578770168974,40.43179986056819,733155.14,0.16358287168693988
51,46.88311523313428,41.73966972014122,707275.12,0.1498473262433799
52,46.64474971414051,43.24596923322153,679170.48,0.13495617442723856
53,46.25190572989455,44.853736742950495,649310.36,0.12205301469438812
54,45.737997077880834,46.719888047289906,616448.38,0.10910031106247177
55,45.07194765595223,48.71878407545936,582546.78,0.09776399741458482
56,43.9909795451658,51.4587903049895,538300.48,0.08628960196734335
57,42.805097827467925,54.06993564284624,498494.32,0.07467462035608262
58,41.102560030491674,57.265352718318624,451956.86,0.0625758296978113
59,38.854068733324866,60.94262289676418,401453.4,0.05229728734727922
60,35.64193558632957,65.52267524961277,342522.88,0.042252876369630814
61,31.549514038876886,70.61067423666121,281346.9,0.032172493381704206
62,25.84404141786304,76.88903083970236,211648.52,0.02260667921545628
63,18.834525473256257,83.90110230373728,141353.36,0.013958620472722845
64,14.851191081184094,87.47322957832688,106906.82,0.010000000000000007
65,15.044050946512513,87.32631518451763,108477.34,0.010000000000000007
66,15.212031508067593,87.07622841578133,110003.52,0.010000000000000007
67,15.410846779316483,86.94926267796049,111604.0,0.010000000000000007
68,15.602769660780073,86.79606843853557,113193.34,0.010000000000000007
69,15.784239613772076,86.65450271960236,114696.98,0.010000000000000007
70,15.96972430440859,86.48290075854948,116275.0,0.010000000000000007
71,16.150222335154364,86.31320594730005,117820.5,0.010000000000000007
72,16.32267500952865,86.15028103331854,119303.7,0.010000000000000007
73,16.512631812984374,85.9911790857437,120915.36,0.010000000000000007
74,16.679770677169355,85.78211255727386,122436.92,0.010000000000000007
75,16.865185491043068,85.63803885277254,124006.2,0.010000000000000007
76,17.016004954897724,85.41058248940222,125448.46,0.010000000000000007
77,17.204173548469065,85.31473861295522,126978.22,0.010000000000000007
78,17.38210837250667,85.14384895952186,128548.92,0.010000000000000007
79,17.5560856307966,84.97847689260847,130088.26,0.010000000000000007
80,17.726381654173547,84.83080558796274,131578.78,0.010000000000000007
81,17.892910684792277,84.65066873498532,133097.58,0.010000000000000007
82,18.056609706517598,84.47225598802716,134598.88,0.010000000000000007
83,18.23210202007369,84.34117932841978,136118.28,0.010000000000000007
84,18.404834201499174,84.18762985381987,137658.54,0.010000000000000007
85,18.55883305806124,84.0013881285505,139118.16,0.010000000000000007
86,18.72480942701054,83.85326236750642,140610.3,0.010000000000000007
