1,12.05283964902131,100.0,0.0,100000.0,1.5,0.0,82.968,1.0,8.0,0.0,12.50000000000001,87.50000000000001
5,34.348809179442675,60.39319078113398,39.60680921886602,471883.0,1.5,0.6558136772691133,145.56481962155968,4.8,10.837468667909933,10.949799999999975,35.62314999999918,53.42704999999934
10,37.34054093144344,38.5155189077355,61.4844810922645,804369.2,1.5,1.5963412815848095,267.795329892367,9.8,16.068638177365475,26.615850000000183,38.72587499999978,34.65827500000014
15,35.391982451065466,28.59879643017606,71.40120356982393,1026757.0,1.5,2.4966433795712413,423.79988412383636,14.4,21.73468263083611,37.19032499999999,36.70502499999955,26.104650000000355
20,32.945472953427824,22.85706381910052,77.14293618089948,1195875.2,1.5,3.3750742772598037,607.0093851480975,19.0,27.118940205884904,44.708150000000174,34.16775000000008,21.124099999999906
25,30.607993443255232,18.96360433558349,81.03639566441652,1339135.6,1.5,4.273388971485177,816.6897262025443,23.6,31.97458471485612,50.60654999999982,31.74355000000001,17.649899999999953
30,28.35849966252049,16.024075780643358,83.97592421935664,1468320.4,1.5,5.240992281121478,1057.7359010163411,28.4,36.32218682122953,55.575924999999714,29.41060000000015,15.013474999999989
35,26.24423874264777,13.694459576445066,86.30554042355493,1590009.4,1.5,6.302435948678544,1333.3793254848592,34.2,40.1761121111015,59.863074999999924,27.217899999999922,12.919024999999994
40,24.21227461189856,11.75578093772379,88.24421906227622,1708813.6,1.5,7.506318858018124,1651.619454665999,37.2,43.585643054954474,63.75622499999982,25.11055000000014,11.133225000000019
45,22.28225339890078,10.124027592136388,89.87597240786361,1826065.4,1.5,8.877354494087896,2018.9547162660535,42.6,46.56039335660911,67.26549999999972,23.108924999999807,9.625574999999966
50,20.413026709092662,8.712906662646219,91.28709333735378,1943814.6,1.5,10.477510276058243,2448.549890886624,47.0,49.17445490709508,70.5359249999992,21.170350000000035,8.29372500000013
55,18.585382316073666,7.476455089683981,92.52354491031602,2062463.4,1.5,12.375733160529133,2958.074962460215,53.2,51.45302320283015,73.56492500000009,19.274900000000155,7.160175000000002
60,16.858813036351364,6.403246275835821,93.59675372416417,2184426.2,1.5,14.616357089009352,3557.348411489824,57.6,53.41132091670064,76.38682499999915,17.484275000000174,6.12890000000002
65,15.234427731173463,5.47695019961576,94.52304980038424,2307798.4,1.5,17.258521586833773,4264.214491602729,62.2,55.07678289284447,78.97982499999897,15.799624999999963,5.2205499999999905
70,13.695014945521162,4.667908192690523,95.33209180730948,2434168.2,1.5,20.423834801340224,5108.072160599448,67.2,56.50486774970413,81.32479999999958,14.203099999999989,4.472099999999997
75,12.247685854787386,3.965204871267109,96.0347951287329,2562706.6,1.5,24.217543354568868,6118.581491774572,71.4,57.71803921897772,83.50590000000015,12.70207500000004,3.7920249999999944
80,10.873372866647381,3.3481557929486727,96.65184420705133,2694444.0,1.5,28.864796370686342,7350.4273363140555,76.0,58.759830317792215,85.50559999999969,11.276775000000004,3.2176249999999813
85,9.620793558962493,2.822224784759295,97.1777752152407,2828328.8,1.5,34.432885822504005,8825.955757083178,80.8,59.63072495732801,87.32017499999986,9.977724999999912,2.7020999999999935
90,8.465721724038183,2.369537691459224,97.63046230854077,2964221.2,1.5,41.1991982534871,10616.551194999172,86.0,60.36728361285719,88.93419999999956,8.779799999999948,2.285999999999979
95,7.444412303538714,1.9904718873686735,98.00952811263133,3103022.6,1.5,49.23161376517712,12741.674748061161,91.0,60.97302033961789,90.37219999999908,7.720599999999988,1.9071999999999842
100,6.483969723266801,1.6583602758659073,98.3416397241341,3243937.8,1.5,59.3060079366068,15393.952867980352,93.4,61.495837970027495,91.67274999999991,6.724525000000002,1.602724999999992
