NUM_STATION,THROUGHPUT,SUCCESS_RATE,COLLISION_RATE,NUM_TRANSMIT,ALPHA,NUM_FAIL,DELAY,CONTENTION_STATION_NUM,AVG_OCW,RU_COLLISION_RATE
1,8.03446147912448,100.0,0.0,66660.32,0.5,0.0,0.0,0.62,8.0,0.0
2,14.334285507665607,91.79892572179492,8.201074278205084,129553.42,0.5,0.08933797313130114,7.412192954757793,1.22,8.351553481403926,0.534104033008161
3,19.265053996721626,84.71831969821031,15.281680301789692,188670.22,0.5,0.18038176637679723,14.965914392750113,1.96,8.717462317778233,1.8833736277016164
4,23.15270224664931,78.63127505969453,21.36872494030547,244296.2,0.5,0.2717568023146988,22.54711837444593,2.46,9.095989164483315,3.2223678689257054
5,26.18804599363611,73.31386936850917,26.686130631490826,296365.3,0.5,0.36399669508472365,30.200077797789355,2.94,9.492042458842947,4.7951360381250865
6,28.558948028155427,68.66203832788527,31.33796167211473,345092.78,0.5,0.45640796281716467,37.86725585901452,3.76,9.901052539670046,6.364831909944599
7,30.435126795873106,64.6223478300238,35.3776521699762,390753.38,0.5,0.5474506073317827,45.42088198910335,4.04,10.31944501831361,8.442719632539827
8,31.88336708128436,61.03835505079458,38.96164494920542,433382.86,0.5,0.6383129263115285,52.95954687021489,4.46,10.750767777073762,9.943854287512405
9,33.03044547295343,57.87583871405768,42.12416128594232,473508.26,0.5,0.7278401594303326,60.38744234761584,5.06,11.188514953910897,11.27545199395155
10,33.92096470928551,55.06316103220468,44.93683896779532,511113.7,0.5,0.8161030624374248,67.71043888430826,5.38,11.6326564013056,13.101480233795478
11,34.6196292546524,52.55928001536988,47.44071998463012,546491.52,0.5,0.9026220931428216,74.88874982387362,5.94,12.078992281896676,14.786141210556712
12,35.149296114164514,50.29780250962145,49.70219749037855,579799.82,0.5,0.988181789340651,81.98746669801514,6.22,12.532567688038643,15.923011174217168
13,35.547572558094686,48.258198971931755,51.741801028068245,611152.2,0.5,1.0721981565237808,88.95813665046505,6.88,12.99009168978842,17.22013650238395
14,35.8353196413075,46.394650170937446,53.605349829062554,640846.34,0.5,1.1554303851104875,95.86374819184692,7.06,13.450406085132421,18.390814952053383
15,36.05420885160542,44.70390978920248,55.29609021079752,669146.12,0.5,1.2369642542032424,102.62845024273462,7.52,13.909575226392137,19.929521330022343
