NUM_STATION,THROUGHPUT,SUCCESS_RATE,COLLISION_RATE,NUM_TRANSMIT,ALPHA,NUM_FAIL,DELAY,CONTENTION_STATION_NUM,AVG_OCW,RU_COLLISION_RATE,RU_SUCCESS_RATE,RU_IDLE_RATE
1,12.05283964902131,100.0,0.0,100000.0,1.0,0.0,82.968,1.0,8.0,0.0,12.50000000000001,87.50000000000001
5,30.368407096711984,67.38572567309946,32.61427432690054,373907.6,1.0,0.4839949868162412,164.64241627980513,4.6,13.396106893642507,7.240525000000025,31.495075000000316,61.264399999999185
10,35.50646032205188,50.922710142495276,49.077289857504724,578504.0,1.0,0.9637798463375633,281.62771746260245,7.2,19.640527850125626,15.98067499999999,36.82374999999964,47.19557499999937
15,36.60821039436892,41.427434439963534,58.572565560036466,733164.2,1.0,1.4138696617053363,409.7166573152673,10.4,24.722523073285856,23.241025000000093,37.96637499999993,38.79259999999994
20,36.33909459068556,34.83911294780135,65.16088705219866,865401.0,1.0,1.8703699868940196,550.3229762340521,12.8,28.98352020652772,29.48947499999996,37.68727499999981,32.82324999999995
25,35.41360524539582,29.852349010435024,70.14765098956498,984242.6,1.0,2.3498239404584234,705.8632039494444,13.6,32.64350795290472,35.04122499999947,36.7274499999998,28.231325000000094
30,34.0936023527143,25.837234010759556,74.16276598924044,1094806.6,1.0,2.8703107552957556,879.7885868101675,18.6,35.86811527174392,40.039899999999946,35.3584750000001,24.601625000000194
35,32.613176164304306,22.56252611419541,77.4374738858046,1199267.2,1.0,3.4320690324149132,1073.0158633026883,20.8,38.71727741983003,44.56252499999955,33.823124999999536,21.614350000000094
40,31.086659917076464,19.83696283630602,80.16303716369399,1300197.8,1.0,4.041121295257615,1286.4801353047492,24.6,41.232002645331974,48.7459749999997,32.2399749999998,19.01404999999999
45,29.493804840420403,17.500312584465053,82.49968741553495,1398284.8,1.0,4.714207535317676,1525.408417307404,24.6,43.50453278143613,52.598624999999416,30.58802500000014,16.81334999999995
50,27.86910616141163,15.475672395674128,84.52432760432588,1494115.4,1.0,5.461801437204704,1793.619711417495,27.6,45.54775767997414,56.187474999999765,28.903050000000217,14.909475000000043
55,26.267717674284064,13.717865127158143,86.28213487284185,1588716.8,1.0,6.289540412063672,2093.1587980726317,30.2,47.39939165047863,59.49659999999909,27.24224999999989,13.261150000000077
60,24.698606691736572,12.175297292232667,87.82470270776733,1683075.0,1.0,7.2132099953427495,2428.491508430647,34.2,49.056637329497455,62.63679999999939,25.614924999999992,11.748275000000003
65,23.14210297946196,10.81303605436719,89.18696394563281,1775684.4,1.0,8.248213796997542,2807.654869505025,32.8,50.57263254794079,65.50342499999978,24.000674999999934,10.495899999999995
70,21.67756243370938,9.624238540304237,90.37576145969577,1868764.8,1.0,9.39061435743422,3227.683041115771,37.2,51.92676829621009,68.21047499999952,22.48179999999997,9.307725000000023
75,20.207164207887377,8.548375451880258,91.45162454811974,1961247.6,1.0,10.698079303522682,3709.6435763114523,40.2,53.170913107464955,70.74684999999836,20.956850000000117,8.29630000000003
80,18.821979558383955,7.600774349352397,92.39922565064761,2054556.2,1.0,12.157054547988167,4247.945735578953,42.0,54.29598132512433,73.10139999999926,19.520274999999998,7.378324999999971
85,17.46885546234693,6.748569809927067,93.25143019007294,2147649.6,1.0,13.817656880511402,4862.623073125255,45.6,55.320580972213506,75.3275749999984,18.116950000000134,6.555475000000017
90,16.200245877928843,5.996650796363217,94.00334920363679,2241420.4,1.0,15.675435934370881,5551.248475491046,49.4,56.237803210404365,77.3675249999998,16.801274999999958,5.83119999999999
95,14.98927297271237,5.324431254190268,94.67556874580973,2335703.8,1.0,17.779859156946337,6332.329291094511,50.4,57.06828980829725,79.26647499999902,15.545375000000012,5.188150000000019
100,13.83176646417896,4.720837449107084,95.27916255089292,2430912.0,1.0,20.18219072706632,7223.082086353816,54.0,57.819906313071044,81.0448999999993,14.344924999999899,4.610175000000001
